"affil_clean","affil_clean_univ","cnt"
"eli lilly","carnegie mellon university",8
"eli lilly","imperial college london",8
"eli lilly","massachusetts institute of technology",8
"eli lilly","purdue university",8
"eli lilly","university of kentucky",8
"eli lilly","university of kwazulu-natal",8
"eli lilly","university of padova",8
"eli lilly","university of surrey",8
"abbvie","creighton univeristy",5
"abbvie","iowa state university",5
"abbvie","university of illinois",5
"abbvie","university of illinois at chicago",5
"abbvie","virginia commonwealth university",5
"pfizer","graz university of technology",5
"pfizer","iit bombay",5
"pfizer","rcpe gmbh",5
"pfizer","university of colorado at boulder",5
"pfizer","virginia commonwealth university",5
"process systems enterprise","carnegie mellon university",5
"process systems enterprise","imperial college london",5
"process systems enterprise","loughborough university",5
"process systems enterprise","university of sheffield",5
"process systems enterprise","university of strathclyde",5
"zhejiang university of technology","bielefeld university",5
"zhejiang university of technology","carnegie mellon university",5
"zhejiang university of technology","eindhoven university of technology",5
"zhejiang university of technology","university of adelaide",5
"zhejiang university of technology","university of surrey",5
"fda","purdue university",4
"fda","university of connecticut",4
"fda","university of padova",4
"fda","virginia commonwealth university",4
"ntnu","imperial college london",4
"ntnu","university college london",4
"ntnu","university college of london",4
"ntnu","university of manchester",4
"slac national accelerator laboratory","iit bombay",4
"slac national accelerator laboratory","nanyang technological university",4
"slac national accelerator laboratory","purdue university",4
"slac national accelerator laboratory","stanford university",4
"astrazeneca","delft university of technology",3
"astrazeneca","university of manchester",3
"astrazeneca","university of minnesota",3
"dow chemical company","carnegie mellon university",3
"dow chemical company","louisiana state university",3
"dow chemical company","northwestern university",3
"max planck institute for dynamics of complex technical systems","bielefeld university",3
"max planck institute for dynamics of complex technical systems","eindhoven university of technology",3
"max planck institute for dynamics of complex technical systems","university of adelaide",3
"medicines for malaria venture (mmv)","princeton university",3
"medicines for malaria venture (mmv)","university of illinois at urbana-champaign",3
"medicines for malaria venture (mmv)","university of new south wales",3
"strathclyde institute of pharmacy and biomedical sciences","loughborough university",3
"strathclyde institute of pharmacy and biomedical sciences","university of houston",3
"strathclyde institute of pharmacy and biomedical sciences","university of strathclyde",3
"takeda pharmaceuticals international co.","purdue university",3
"takeda pharmaceuticals international co.","university of connecticut",3
"takeda pharmaceuticals international co.","university of strathclyde",3
"wuxi","princeton university",3
"wuxi","university of illinois at urbana-champaign",3
"wuxi","university of new south wales",3
